title,author,rating,genres
to kill a mockingbird,harper lee,8.52,history
"the chronicles of narnia (the chronicles of narnia, #1-7)",c.s. lewis,8.54,fantasy
the picture of dorian gray,oscar wilde,8.24,horror
gone with the wind,margaret mitchell,8.62,history
the giving tree,shel silverstein,8.76,fantasy
wuthering heights,emily brontë,7.76,romance
the perks of being a wallflower,stephen chbosky,8.46,romance
"the da vinci code (robert langdon, #2)",dan brown,7.82,mystery
"the lightning thief (percy jackson and the olympians, #1)",rick riordan,8.6,fantasy
alice's adventures in wonderland / through the looking-glass,lewis carroll,8.12,fantasy
memoirs of a geisha,arthur golden,8.3,history
"divergent (divergent, #1)",veronica roth,8.3,science fiction
les misérables,victor hugo,8.4,history
"anne of green gables (anne of green gables, #1)",l.m. montgomery,8.6,history
"city of bones (the mortal instruments, #1)",cassandra clare,8.16,fantasy
the help,kathryn stockett,8.94,history
"ender’s game (ender's saga, #1)",orson scott card,8.62,science fiction
of mice and men,john steinbeck,7.76,history
brave new world,aldous huxley,7.98,science fiction
one hundred years of solitude,gabriel garcía márquez,8.22,fantasy
a thousand splendid suns,khaled hosseini,8.84,history
the princess bride,william goldman,8.52,fantasy
the secret garden,frances hodgson burnett,8.3,history
"harry potter and the sorcerer's stone (harry potter, #1)",j.k. rowling,8.94,fantasy
the odyssey,homer,7.6,fantasy
frankenstein: the 1818 text,mary wollstonecraft shelley,7.72,horror
the lovely bones,alice sebold,7.7,mystery
green eggs and ham,dr. seuss,8.62,fantasy
"the giver (the giver, #1)",lois lowry,8.24,science fiction
"the handmaid’s tale (the handmaid's tale, #1)",margaret atwood,8.26,science fiction
a tale of two cities,charles dickens,7.74,history
"dune (dune, #1)",frank herbert,8.52,science fiction
water for elephants,sara gruen,8.2,history
"harry potter and the prisoner of azkaban (harry potter, #3)",j.k. rowling,9.16,adventure
the bell jar,sylvia plath,8.1,documentary
the stand,stephen king,8.7,horror
matilda,roald dahl,8.66,fantasy
catch-22,joseph heller,7.98,history
"the pillars of the earth (kingsbridge, #1)",ken follett,8.66,history
"the adventures of sherlock holmes (sherlock holmes, #3)",arthur conan doyle,8.6,mystery
great expectations,charles dickens,7.58,history
"harry potter and the philosopher’s stone (harry potter, #1)",j.k. rowling,8.94,fantasy
"outlander (outlander, #1)",diana gabaldon,8.52,history
"the girl with the dragon tattoo (millennium, #1)",stieg larsson,8.32,mystery
one flew over the cuckoo's nest,ken kesey,8.4,documentary
"the fellowship of the ring (the lord of the rings, #1)",j.r.r. tolkien,8.78,fantasy
anna karenina,leo tolstoy,8.16,romance
the brothers karamazov,fyodor dostoevsky,8.72,documentary
the road,cormac mccarthy,7.96,science fiction
"angela's ashes (frank mccourt, #1)",frank mccourt,8.28,documentary
siddhartha,hermann hesse,8.12,documentary
to kill a mockingbird,harper lee,8.52,history
it,stephen king,8.5,horror
"the shining (the shining, #1)",stephen king,8.52,horror
the complete stories and poems,edgar allan poe,8.76,horror
don quixote,miguel de cervantes saavedra,7.78,adventure
the old man and the sea,ernest hemingway,7.6,adventure
"harry potter and the goblet of fire (harry potter, #4)",j.k. rowling,9.12,fantasy
fahrenheit 451,ray bradbury,7.94,science fiction
harry potter and the half-blood prince (harry potter #6),j.k. rowling,9.16,fantasy
a prayer for owen meany,john irving,8.48,history
"clockwork angel (the infernal devices, #1)",cassandra clare,8.62,fantasy
the secret life of bees,sue monk kidd,8.18,history
the stranger,albert camus,8.04,documentary
the red tent,anita diamant,8.4,history
"the name of the wind (the kingkiller chronicle, #1)",patrick rothfuss,9.04,fantasy
middlesex,jeffrey eugenides,8.06,history
"the hobbit (the lord of the rings, #0)",j.r.r. tolkien,8.56,fantasy
the adventures of tom sawyer,mark twain,7.84,adventure
the alchemist,paulo coelho,7.8,fantasy
looking for alaska,john green,7.94,romance
"charlie and the chocolate factory (charlie bucket, #1)",roald dahl,8.32,fantasy
the curious incident of the dog in the night-time,mark haddon,7.78,mystery
"the shadow of the wind (the cemetery of forgotten books, #1)",carlos ruiz zafón,8.58,history
the count of monte cristo,alexandre dumas,8.58,history
"the last olympian (percy jackson and the olympians, #5)",rick riordan,9.08,fantasy
tuesdays with morrie,mitch albom,8.32,documentary
on the road,jack kerouac,7.22,adventure
the unbearable lightness of being,milan kundera,8.22,documentary
"the lion, the witch and the wardrobe (chronicles of narnia, #1)",c.s. lewis,8.46,fantasy
the name of the rose,umberto eco,8.28,history
where the red fern grows,wilson rawls,8.22,history
in cold blood,truman capote,8.16,documentary
the scarlet letter,nathaniel hawthorne,6.86,history
perfume: the story of a murderer,patrick süskind,8.06,history
fight club,chuck palahniuk,8.38,thriller
the five people you meet in heaven,mitch albom,7.96,fantasy
american gods,neil gaiman,8.22,fantasy
"the cat in the hat (the cat in the hat, #1)",dr. seuss,8.36,fantasy
the divine comedy,dante alighieri,8.14,documentary
"hush, hush (hush, hush, #1)",becca fitzpatrick,7.86,fantasy
watchmen,alan moore,8.76,animation
"lonesome dove (lonesome dove, #1)",larry mcmurtry,9.04,history
all quiet on the western front,erich maria remarque,8.12,history
"the little house collection (little house, #1-9)",laura ingalls wilder,8.7,history
peter pan,j.m. barrie,8.08,fantasy
"good omens: the nice and accurate prophecies of agnes nutter, witch",terry pratchett,8.5,fantasy
love in the time of cholera,gabriel garcía márquez,7.86,history
"insurgent (divergent, #2)",veronica roth,7.96,science fiction
a walk to remember,nicholas sparks,8.38,romance
the thorn birds,colleen mccullough,8.48,history
the compleat works of wllm shkspr,adam long,8.92,comedy
"the battle of the labyrinth (percy jackson and the olympians, #4)",rick riordan,8.84,fantasy
"shadow kiss (vampire academy, #3)",richelle mead,8.68,fantasy
"six of crows (six of crows, #1)",leigh bardugo,8.98,fantasy
how the grinch stole christmas!,dr. seuss,8.74,fantasy
"the titan's curse (percy jackson and the olympians, #3)",rick riordan,8.72,fantasy
"clockwork princess (the infernal devices, #3)",cassandra clare,9.12,fantasy
their eyes were watching god,zora neale hurston,7.96,history
the importance of being earnest,oscar wilde,8.36,drama
"eat, pray, love",elizabeth gilbert,7.24,documentary
atonement,ian mcewan,7.86,history
the three musketeers,alexandre dumas,8.18,history
the lorax,dr. seuss,8.68,fantasy
"the maze runner (the maze runner, #1)",james dashner,8.1,science fiction
"frostbite (vampire academy, #2)",richelle mead,8.52,fantasy
the haunting of hill house,shirley jackson,7.64,horror
"catching fire (the hunger games, #2)",suzanne collins,8.62,science fiction
heart of darkness,joseph conrad,6.86,history
"the hunger games trilogy boxset (the hunger games, #1-3)",suzanne collins,8.98,fantasy
"blood promise (vampire academy, #4)",richelle mead,8.62,fantasy
the prophet,kahlil gibran,8.46,documentary
"throne of glass (throne of glass, #1)",sarah j. maas,8.38,fantasy
the call of the wild,jack london,7.8,adventure
"murder on the orient express (hercule poirot, #10)",agatha christie,8.4,mystery
the joy luck club,amy tan,7.94,history
the phantom tollbooth,norton juster,8.38,fantasy
"the silence of the lambs  (hannibal lecter, #2)",thomas  harris,8.48,horror
"the mists of avalon (avalon, #1)",marion zimmer bradley,8.26,fantasy
